full_text,sentiment
hallo kak aku mengajukan permohonan pengembalian kelebihan pembayaran pajak yang seharusnya tidak terutang di coretax.. tapi pas bagian ini gak bisa tambah data kenapa ya? <url>,neutral
spt ppn di coretax sudah klik bayar selesai dibayar dan lapor tapi...induk spt yg download berbeda dengan konsep...penjualan pada induk spt kosong jadi lebih bayar padahal seharusnya kurang bayar <url>,negative
hai kak. iya untiuk pegawai yang resign di tahun pajak 2025 silakan membuat a1 di coretax ya. tks*naim,neutral
hallo min mau nanya. bagaimana caranya memunculkan faktur yg hilang di coretax? hilangnya cuma sebagian. sudah di refresh tp tetap tdk muncul,neutral
selamat siang mohon solusinya karena saat aktivasi nik di coretax pada bagian alamat selalu gagal padahal sudah diketik/penulisan sesuai dengan ktp <url>,neutral
nah ini bisa dilakukan karena bengkelnya menggunakan faktur pajak yg digunggung (faktur pajak yang tidak diisi dengan identitas pembeli serta nama dan tanda tangan penjual) hanya bisa dilakukan utk konsumen akhir. dan ini masih diakomodasi di coretax.,neutral
hai kak. mohon maaf atas kendala yang dialami. apabila masih muncul notifikasi invoice should be returned on coretax - xml upload mohon berkenan untuk untuk membuat nota retur dengan menggunakan upload xml ya kak. untuk file xml dapat diunduh <url> jika,neutral
hai kak. apakah sudah dipastikan kembali login coretax dengan akun pic/drafter dan impersonate ke akun badan? saat ini menu ebupot masih terdapat 10 item. jika masih terkendala silakan dapat mengajukan tiket layanan meja layanan ti (melati) melalui helpdesk kpp telepon kring,neutral
hai kak. skb terkait apa ya yang ingin kakak ajukan? secara umum taxmin sampaikan bahwa saat ini pengajuan skb dilakukan melalui coretax ya kak. tks*manu,neutral
hai kak. untuk spt pbb (spop) tahun pajak 2025 dilakukan melalui coretax ya kak. spop akan otomatis terbentuk di menu konsep spt pada waktu tertentu yaitu: 1. pbb sektor perkebunan pertambangan migas dan pertambangan pengusahaan panas bumi: spop autocreation pada tanggal,neutral
hai kak. mohon maaf atas ketidaknyamanan yang dialami. error connection request timed out disebabkan karena load ke server yang sedang tinggi. mohon kesediaannya untuk mencoba kembali secara berkala. sebelum mengakses coretax disarankan untuk mencoba langkah berikut: 1. clear,neutral
hai kak. mohon maaf atas ketidaknyamanan yang terjadi. jika masih berstatus validating data mohon kesediaannya untuk menunggu karena masih dalam proses validasi ya kak. kakak juga dapat melakukan hal berikut sebelum akses coretax (<url>): 1. clear,neutral
hai kak. untuk pembuatan billing pph apa kak? mulai tahun pajak 2025 untuk pembuatan kode billing bisa menggunakan akun coretax di laman <url> melalui menu pembayaran &gt; layanan mandiri kode billing. selain itu kakak juga dapat dibantu pembuatan kode billing,neutral
hai kak. mohon maaf atas ketidaknyamanan yang dialami. error connection request timed out disebabkan karena load ke server yang sedang tinggi. mohon kesediaannya untuk mencoba kembali secara berkala. sebelum mengakses coretax disarankan untuk mencoba langkah berikut: 1.,neutral
hai kak. mohon maaf atas ketidaknyamanannya. saat ini coretax masih dalam tahap penyempurnaan. selama faktur pajak masukkan yang muncul pada lawan transaksi sudah lengkap maka fp tersebut sudah sesuai ketentuan. silakan lakukan pelaporan aplikasi melati melalui kpp terdaftar/,neutral
terkait login coretax tetap diperlukan untuk menjalankan kewajiban administrasi terkait perpajakan mulai januari 2025 ya kak. dalam hal yg dimaksud adalah npwp sudah terdaftar dan sudah memiliki akun djp online. maka ketika ingin login pertama kali ke akun coretax silakan klik,neutral
dan terkait efin diperlukan untuk login akun djp online ya kak (login coretax tidak memerlukan efin) misalkan untuk keperluan pelaporan spt tahunan untuk tahun pajak 2024. jika masih ada kewajiban pelaporan spt tahunan sebelum tahun pajak 2025 maka silakan untuk melakukan <url>,neutral
helo sha open jasa konsultan pajak - lapor spt tahunan kurang bayar/lebih bayar 10jt-100jt - bukti potong - perhitungan pajak - pembuatan laporan keuangan sederhana/lengkap - pencatatan transaksi harian dari mutasi rekening wa yg dibio untuk order coretax jokipajak zonauang,neutral
hai kak. mohon maaf atas ketidaknyamanannya. silakan diinformasikan kakak melakukan pembuatan fp menggunakan efaktur dekstop atau coretax? apakah ada notifikasi error yang muncul? silakan dapat kakak sertakan tangkapan layar atas kendala tsb. tks*hani,neutral
ndak bisa jir. harus coretax. nyusahin emng,negative
hai kak. mohon maaf atas ketidaknyamanannya. saat ini isu terkait ketidaksesuaiaan nominal pada fp uang muka termin dan pelunasan masih dalam penanganan dari tim teknis coretax mohon berkenan untuk melakukan pengecekan kembali secara berkala ya kak. apabila sudah cukup lama,neutral
hai kak. mohon maaf atas ketidaknyamanannya. seperti pada penjelasan sebelumnya saat ini isu terkait ketidaksesuaiaan nominal pada fp uang muka termin dan pelunasan masih dalam penanganan dari tim teknis coretax mohon berkenan untuk melakukan pengecekan kembali secara,neutral
hai kak. mohon maaf atas ketidaknyamanannya. apabila saat ini statusnya masih signing in progres mohon kesediaannya untuk menunggu. faktur pajak tsb masih proses verifikasi sistem coretax. silakan klik tombol refresh berkala. mengenai kendala tsb perlu menunggu hingga status,neutral
hai kak. apakah maksudnya data di awal itu adalah data email di akun djp online? jika kakak sudah berhasil mengubah data email di coretax maka membutuhkan beberapa waktu untuk dapat sinkron ke djp online. mohon kesediaannya untuk dapat mengecek kembali secara berkala ya kak.,neutral
hai kak. saat ini bukti potong pph pasal 21 bulanan belum bisa untuk download pdf-nya. namun notifikasi penerbitan bukti potong tersebut akan terkirim langsung ke akun coretax pegawai pemilik bukti potong yang dapat dilihat pada icon lonceng. tks*fnto,neutral
hai kak. mohon maaf atas ketidaknyamanannya. jika kakak sudah terdaftar pada akun djp online sebelumnya tetapi muncul notifikasi nama pengguna tidak ditemukan! saat mengakses lupa kata sandi di coretax silakan pilih menu aktivasi akun wajib pajak di halaman depan coretax.,neutral
hai kak. untuk pembuatan uang muka kedua dan seterusnya melalui coretax silakan memperhatikan beberapa hal berikut.: 1. centang checkbox uang muka 2. masukkan nomor faktur uang muka pertama pada kolom nomor faktur. 3. data detil transaksi akan terisi otomatis. 4. untuk fp,neutral
hai kak. apakah yg dimaksud terkait pph pasal 26? jika iya penginputan pph pasal 26 melalui coretax silakan akses menu ebupot kemudian pilih yg bpnr (bupot non resident) dan silakan sesuaikan dengan jenis penghasilan yg sesuai. bupot yg sudah dibuat akan masuk ke dalam spt,neutral
mau edit di coretax juga gak bisa login. lalu gimana ini min? <url>,neutral
hai kak. mohon maaf atas ketidaknyamanannya. silakan diinformasikan kakak melakukan pembuatan fp menggunakan efaktur dekstop atau coretax? apakah ada notifikasi error yang muncul? silakan dapat kakak sertakan tangkapan layar atas kendala tsb. tks*anum,neutral
coretax bneran tolol pas error nsfp yg trtera dgn yg dicetak beda no pas dibkin prgantian baru sama nsfp,negative
halo min apa sudah betul tampilan dari cetakan fp pelunasan seperti ini? karena dikolom uang muka nominalnya merupakan dpp normal tidak seperti fp pelunasan sebelumnya dimana yang tercetak di kolom uang muka adalah dpp 11/12. coretax <url>,neutral
bisa jadi ini hanya sekali utk dimintakan krn pd saat isi coretax nik itu harus diisi tdk bisa kosong beda kalau namanya sudah badan bukan perorangan. bengkel akal kolek data pemilik mobil sesuai stnk dgn nambah data nik sipemilik. lha kalau pindah tangan ini celahnya..,negative
hi mau pengajuan e-skd di coretax kenapa bagian skd wpln nya gabisa disimpan ya? padahal sudah di isi sesuai dengan dgt form wpln &amp; sudah melampirkan cor nya juga. pls advice <url>,neutral
hai kak. mohon maaf atas ketidaknyamanannya silakan dicoba kembali ya kak. sebelum mengakses coretax silakan dapat mencoba langkah-langkah berikut: 1. clear cookies dan cache pada browser. 2. gunakan browser lain. 3. gunakan private window (mozilla)/incognito window (chrome).,neutral
hai kak. apabila retur dilakukan pada masa april silakan bisa diinputkan nota returnya di masa april. untuk penginputannya dilakukan melalui laman coretax ya kak. tks*faka,neutral
apakah bukti pemenuhan kewajiban penyetoran pph menggunakan ntpn atau pbk *tidakbisa* di klik pilihan ya atau tidak ada bantu caranya min dan rekan coretax pliss bantu kawan <url>,neutral
hai kak. silakan dipastikan kembali sudah login menggunakan akun drafter/signer spt/pic sehingga memiliki akses pada menu konsep spt. mohon kesediannya untuk mencoba kembali secara berkala. sebelum mengakses coretax disarankan untuk mencoba langkah berikut ini: 1. clear cache &amp;,neutral
pembuatan notaretur (nrp) saat ini harus dibuat di coretax oleh pembeli (baik pkp / non pkp) banyak sekali konsumen kami yg belum mengerti coretax sehingga tidak mau membuat nrp apakah boleh jika pembeli membuat nrp manual?,neutral
hai kak. saat kakak klik bayar dan lapor billing akan tergenerate secara otomatis oleh sistem dan konsep spt akan masuk ke menu spt menunggu pembayaran. pembuatan billing spt masa ppn tidak bisa melalui menu layanan mandiri kode billing pada coretax. tks*imah,neutral
hai kak. apakah permohonan pengaktifan kembali npwp diajukan secara tertulis ke kpp? produk pengaktifan kembali adalah berupa surat pemberitahuan pengaktifan kembali npwp. bisa informasikan lebih lanjut kendala log in ke laman coretax djp-nya kak? apakah ada screenshot atas,neutral
coretax eror kerjaan beres dri kmrn mau anter berkas masih panas udah paling bener ini gw balik ke rumah trs berakkkk anjir,negative
halow! sha open jasa konsultan pajak - pembuatan laporan keuangan sederhana/lengkap - lapor spt tahunan kurang bayar/lebih bayar 10jt-100jt - pencatatan transaksi harian dari mutasi rekening - pembuatan laporan keuangan + spt wa yg dibio utk order coretax jokipajak zonauang,neutral
kpp madya gresik memberikan layanan perpajakan berupa penerimaan permohonan pada loket tpt asistensi pelaporan spt tahunan dan konsultasi teknis dan aplikasi perpajakan (coretax djp) pada loket helpdesk di area tpt kpp madya gresik. <url>,neutral
hai kak. mohon maaf atas ketidaknyamanannya. apabila saat ini statusnya masih signing in progres mohon kesediaannya untuk menunggu. faktur pajak tsb masih proses verifikasi sistem coretax. silakan klik tombol refresh berkala. tks*adhn,neutral
coba d home coretaxny pilih yg lupa sandi masukin nik sama email yg kmrn d daftarin nnti setting password dr link yg d kirim k email buat login d coretax login coretax trs download npwp nya d menu dokumen saya der,neutral
hai kak berdasarkan simulasi pada aplikasi yang kami lakukan ketika data fp yang dibuat pada desktop di migrasi ke coretax maka nilai yang muncul pada aplikasi coretax pada kolom harga jual dan dpp nilai lain adalah sesuai dengan nilai dpp yang diinput pada desktop.,neutral
diajarin unggah spt di coretax,neutral
hai kak. mohon maaf atas ketidaknyamanan yang dialami. jika ada kendala silakan sampaikan keterangan error dan tangkapan layar atas kendala tsb ya kak. mohon kesediaannya untuk mencoba kembali secara berkala. sebelum mengakses coretax disarankan untuk mencoba langkah berikut:,neutral
oh udah jalan dsri tahun lalu ya. ujung hasilnya coretax 1t yg gagal itu kah,negative
untuk pindah kpp apakah bisa di request dari coretax?,neutral
hai kak. mohon maaf saat ini belum tersedia fitur cek ntpn menggunakan kode billing pada coretax. kakak bisa melakukan pengecekan ntpn melalui kpp layanan telepon kring pajak 1500200 livechat <url> atau twitter dengan tagar validasintpn ya kak.,neutral
diajarin cara buat akun coretax,neutral
kak di coretax ada soft file nya kok di bagian dokumen nanti kartunya cetak sendiri,neutral
hai kak. dalam hal sudah yg dimaksud adalah npwp sudah terdaftar dan sudah memiliki akun djp online. maka ketika ingin login pertama kali ke akun coretax silakan klik lupa kata sandi? bagian id pengguna diisikan dengan npwp 16 digit. tks*psri,neutral
gais aku kan pernah buat akun di coretax tapi status inactive nah itu sampe sekarang ga ada/ga dikirim kartu npwpnya (aku kurang paham). sekarang aku butuh kartunya buat keperluan kerja caranya gimana sih?,negative
hai kak. deposit dapat disetorkan pada akun coretax dengan cara pembuatan billing pada menu pembayaran &gt; layanan mandiri kode billing &gt; pilih kap kjs 411618-100. kode billing tersebut dibayarkan dan akan otomatis menambah deposit pada akun coretaxnya. tks*suti,neutral
siang admin waktu aktivasi nik di coretax pas bagian foto kenapa tidak bisa upload ya? di klik nggak ada respon apa2 kalau take photo tidak ada webcam. padahal sudah ganti browser juga <url>,neutral
hai kak. wajib pajak non-pkp tidak memiliki kewajiban pelaporan spt masa ppn ya. namun jika terdapat retur maka pembeli non-pkp dapat membuat retur pajak masukan melalui coretax. tks*mnti,neutral
hi sha open jasa yah *lapor spt masa pph 21 *lapor spt tahunan orang pribadi umkm badan usaha *tanggapan sp2dk *bukti potong *perhitungan pajak *pencatatan transaksi harian dari mutasi rekening *keberatan pajak wa yang dibio untuk order jokipajak zonauang coretax,neutral
hai kak. sertifikat elektronik yang dimaksud apakah terkait sertifikat elektronik lama yang digunakan untuk efaktur desktop dan/atau ebupot djp online? jika iya seharusnya tidak berpengaruh ya kak. saat ini untuk penerbitan bukti potong maupun faktur pajak melalui coretax,neutral
hai kak. mohon maaf atas ketidaknyamanannya. apakah masih mengalami kendala? silakan coba di upload ulang file xml nya pastikan pengisian tin dan nama sesuai petunjuk untuk pengisian xml nya ya kak. atas penyempurnaan dan peningkatan kualitas layanan coretax djp berkomitmen,neutral
ga tobat tobat nih coretax,negative
hai kak. sinkronisasi biasanya membutuhkan waktu 1 (satu) s.d 2 (hari) ya kak. jika sudah melakukan perubahan data melalui coretax tapi sudah dalam waktu yang lama belum sinkron dan masih terkendala kakak dapat mencoba menghubungi helpdesk kpp layanan telepon kring pajak,neutral
ini web coretax emg lagi gangguan apa gmn ya? 3 hari gabisa akses,negative
hai kak. jika yang kakak maksud saat melakukan aktivasi akun coretax maka silakan pastikan email yang diinputkan sesuai dengan yang email terdaftar. silakan bisa kakak coba penulisan emailnya menggunakan huruf besar semua atau huruf kapital diawal. untuk melihat penulisan,neutral
kemungkinan sudah ga bisa digunggung lagi karena sudah ada coretax,neutral
jancok mau buka web coretax aja load terus pantek deloken ikilo syarat kerja disuruh daftar npwp tp giliran mau ngurus dipersulit website e error terus bangsat,negative
min ini coretax kenapa sih lemot banget menghambat pekerjaan sekali. mau buat 3 faktur pajak aja memakan waktu 1 jam. mau cek faktur pajak masukan juga lama. kirain setelah libur panjang ada maintenance bakal lebih baik ternyata sama aja!!,negative
abis lembur coretax kah?,negative
iya nih mau ambil ekspor data susah bangettttt ga tobat tobat ya coretax ini -_-,negative
bgttttttt dari jam 8 sampe mo stengah hari cuma abis di coretax doangg,negative
hai kak. untuk perubahan data email dan nomor hp silakan dapat dilakukan secara mandiri melalui: 1. coretax milik wajib pajak. silakan bisa akses laman <url> lalu menuju menu portal saya &gt; profil saya &gt; informasi umum &gt; edit &gt; silakan diubah pada bagian,neutral
hallo ini saya mau bantu buat npwp orang asing di coretax tapi gagal terus yaa saat menandai alamat nya muncul seperti gambar berikut ini gimana yaa <url>,negative
ya allah coretax buang buang waktu asliiii,negative
kirain coretax abis lebaran udah tobat. gataunya lanjut part 2,negative
hai kak. tidak perlu ya kak. untuk pegawai yang ditunjuk sebagai drafter cukup didaftarkan sebagai pihak terkait di akun coretax pkp. drafter tidak memerlukan surat kuasa karena drafter tidak berwenang menandatangani dokumen elektronik ya kak tks*imah,neutral
gimana kalo coretax kita bakar aja berame-rame,negative
hai kak. mohon maaf atas ketidaknyamanannya. saat ini terdapat kendala untuk validasi data dari coretax ke database dukcapil. mohon untuk mencoba secara berkala. kami sarankan juga untuk clear caches dan cookies menggunakan private window atau menggunakan browser lain ketika,neutral
hai kak. setelah berhasil melakukan perubahan data di akun coretax mohon kesediaannya untuk menunggu proses sinkronisasi data hingga data email yang terdaftar di djp online juga ikut berubah ya kak. tks*ahya,neutral
jika kakak sudah melakukan langkah-langkah di atas namun masih mengalami kendala yg sama silakan coba konfirmasi ke lawan transaksi (pembeli) untuk melakukan sinkronisasi data nomor aju dari sistem ceisa agar datanya masuk ke coretax djp dengan cara mengklik tombol kirim ulang,neutral
hai kak. penggunaan passphrase yang dimaksud disini untuk di aplikasi e-faktur desktop atau coretax ya kak? apabila di e-faktur desktop masih harus ke kpp. namun jika penggunaanya di coretax maka pic dapat meminta pada menu portal saya di sub menu permintaan kode,neutral
hai kak. hingga saat ini batas upload faktur pajak masih mengacu pada ketentuan per-03/pj/2022 yaitu tanggal 15 bulan berikutnya setelah pembuatan faktur pajak. namun sepanjang aplikasi e-faktur coretax mengakomodir upload faktur pajak diatas tanggal 15 bulan berikutnya kakak,neutral
apaandah coretax mulai penyakitan lagi,negative
ga pernah ketemu website sebaper coretax. ga diperhatiin dikit2 tau ditendang keluar (ke logout). diperhatiin muter2 doang gak kasih keputusan apa2,negative
penyakit coretax kembali muter2 doangg,negative
hai kak apakah sudah mengajukan pendaftaran akun coretax? akun coretax dengan djp onlne ini berbeda ya kak. jika sebelumnya kakak sudah memiliki npwp dan sudah memiliki akun djp online maka untuk login coretax pertama kali silakan lakukan reset password terlebih dulu dengan,neutral
halo min form spt badan tahun 2024 pakai form apa ya? di download dari akun coretax juga?,neutral
hai kak. mohon maaf atas ketidaknyamanannya. saat ini terdapat kendala untuk validasi data dari coretax ke database dukcapil. mohon untuk mencoba secara berkala. kami sarankan juga untuk clear caches dan cookies menggunakan private window atau menggunakan browser lain,neutral
tiap hari nggerutu ngomel perkara coretax lemot bgt,negative
hi! sha open jasa konsultan pajak ya ges - lapor spt tahunan kurang bayar/lebih bayar 10jt-100jt - pencatatan transaksi harian dari mutasi rekening - lapor spt masa pph 21 - tanggapan sp2dk - keberatan pajak - bukti potong wa yg dibio untuk order coretax jokipajak zonauang,neutral
hai kak. pihak yang menandatangani faktur pajak seharusnya muncul pihak penjual silakan coba refresh beberapa kali dan coba unduh ulang. silakan ditunggu terlebih dahulu terkait pengkreditan pajak masukan. sebelum akses coretax dapat dicoba 2 hal berikut: 1. clear cache and,neutral
real gasi itu coretax,negative
hai kak. pada bagian detail transaksi saat membuat faktur pajak di coretax: -dpp yang digunakan tetap dpp normal (bukan dpp nilai lain) -tarif ppn yang tertera secara otomatis tetap 12% dan -kolom ppn harus diisi manual dengan hasil perhitungan ppn dengan besaran tertentu yakni,neutral
hai kak. mohon maaf atas ketidaknyamanannya kendala tersebut muncul ketika proses apa kak? sebelum mengakses coretax silakan dapat mencoba langkah-langkah berikut: 1. clear cookies dan cache pada browser. 2. gunakan browser lain. 3. gunakan private window,neutral
pls coretax jangan ngajak ribut dulu hari ini stress dah 2 hari error mulu,negative
hai kak. mohon maaf atas ketidaknyamanan yang dialami. apakah saat ini masih mengalami kendalanya? error connection request timed out disebabkan karena load ke server yang sedang tinggi. mohon kesediaannya untuk mencoba kembali secara berkala. sebelum mengakses coretax,neutral
hai kak. mohon maaf atas ketidaknyamanannya. apakah masih terkendala? apakah terdapat pesan kesalahan atau notifikasi yang muncul kak? jika masih terkendala mohon berkenan akses laman coretax dengan mencoba langkah berikut: 1. pastikan jaringan internet stabil; 2. clear cache,neutral
hai kak. dengan berlakunya pmk nomor 81 tahun 2024 mulai 1 januari 2025 pendaftaran npwp secara online dilakukan melalui coretax pada laman <url> silakan memilih menu pengguna baru? daftar disini. tks*vani,neutral
coretax ni babi banget aasuuu,negative
hai kak. apabila bukti potong dibuat pada sistem coretax maka penerima penghasilan dapat melihat bukti potong tersebut pada menu portal saya &gt; dokumen saya. tks*msri,neutral
coretax mbak,negative
tunggu brp lama ya spy sinkron dgn djponline? sy udh update no hp di coretax. terima kasih <url>,neutral
coretax dipuji dikit langsung kena ain. mau download fp masukan aja susahnya minta ampun. hih.,negative
min mau tanya saya mau aktivasi akun yang sudah terdaftar di coretax gak bisa bisa kok ya itu kenapa min? apa memang lama atau gimana ya min? soalnya mau ada perubahan pic di wp badannya min,neutral
min tolong bantuanya lemot banget kerjaan kita bukan cuma ngurusin coretax doang ); kita butuh yang cepet sat set kaya djp dulu. <url>,negative
hai kak. mohon maaf atas ketidaknyamanannya. apabila status spt di coretax masih di spt menunggu pembayaran kemungkinan data pembayaran tersebut masih dalam proses sinkronisasi data ke coretax. sepanjang kakak sudah memiliki bukti pembayaran yg mencantumkan ntpn (nomor,neutral
mau tanya kalau surat elektronik efaktur desktop apakah harus diperpanjan? saat ini untuk pembuatan faktur pajak melalui coretax,neutral
yang bener aja ini udh berapa hari lemot bgt coretax <url>,negative
holla! sha open jasa konsultan pajak ya ges - lapor spt tahunan orang pribadi umkm badan usaha - perhitungan pajak - pembuatan laporan keuangan sederhana/lengkap - pembuatan laporan keuangan + lapor spt wa yang dibio untuk order coretax jokipajak zonauang,neutral
coretax kenapa bertingkah mulu sih??? ; ;,negative
eh emg rk harus diupload jg di coretax?,neutral
halo min kalo era coretax utk faktur pajak sewa bangunan ruko gitu kita buat di kode 010 atau kode 040 ya? makasi min,neutral
hai kak. mohon maaf atas ketidaknyamanannya. saat ini tidak ada ketentuan perpanjangan batas waktu upload. silakan memeriksa proses impor tersebut kembali secara berkala. silakan klik tombol refresh/perbarui yang ada di tampilan menu efaktur di laman coretax. silakan dapat,neutral
hai kak. bukti potong untuk pegawai harian/pegawai tidak tetap dilakukan melalui coretax dengan cara : 1. login ke coretax 2. pilih menu ebupot 3. klik bp 21 - bukti pemotongan selain pegawai tetap 4. klik create ebupot bp 21 5. pilih masa pajak masukkan npwp lawan transaksi,neutral
tidak ada keterangan data tidak ditemukan min sudah sesuai dengan data ahu. kemarin sempat ubah data di kpp ketuanya menjadi tidak pic di sistem padahal masih pic mau ubah sendiri pic lewat coretax tapi tidak bisa simpan,negative
halo mau tanya. untuk pegawai resign di bulan maret 2025 bupotnya pakai a1 ya di coretax?,neutral
min mau tanya kalau sya buat faktur pajak di e-faktur deskop tapi alamat npwp nya salah sedangkan di coretax ternyata npwpnya sudah otomatis sesuai npwp ( jadi benar ) saya perlu buat faktur pajak pengganti tidak ya min? mohon untuk dijawab segera,neutral
ijin bertanya kami ada transaksi untuk barang fasilitas (perush kaber) saat dp kode faktur pajak adlh 04 krn blm ada sppb saat barang kami kirim menggunakan kode fp 07 tetapi di coretax otomatis mengikuti kode fp dp (04). solusinya bgmn min? efaktur dulu bisa,neutral
pagi min sy ketika transmigrasi dari djp ke coretax sudah pakai email a nmn 2 bln lalu sy mengganti alamt email yg terdaftar ke email b. nmn skrng sy ingin mengubah email tersebut ke email a kembli tapi knp tdk bisa berubah di akun coretax sedngkn di djp sdh terganti ke email a <url>,neutral
coretax please be nice to me.. please lancar jaya sampe beres upload faktur pajak. tagihan harus terkirim hari ini,positive
dari coretax ke apple ecosystem <url>,neutral
sampe kapan sih coretax gini terus? udah lelah batin + stress tiap hari,negative
kesabaran yg haqiqi adalah menghadapi coretax,positive
kak untuk laporan pajak badan 2024 pakai djponline atau coretax ya? minta info tutorialnya ya. terima kasih,neutral
hi kk.. jika perusahaan telah membuat bukti potong pph 21 utk karyawan. apakah bukti potong tsb dapay langsung di lihat pd akun coretax karyawan tsb? jika ya di menu apa ya?,neutral
mau simulasi bumn web nya error web bumncoretax sama² buat stres,negative
min setelah kami ajukan ubah data ke kpp karena ada perubahan nama lembaga saat pad menu ebupot dan buat konsep spt tidak muncul di coretax badan kami. bagaimana ya? <url>,neutral
waspada penipuan kawanpajak banyak beredar penipuan mengatasnamakan coretax djp. pastikan melakukan akses pada laman resmi layanan direktorat jenderal pajak melalui <url> waspadapenipuan coretaxdjp <url>,neutral
udah bisa kak. lewat website coretax. tapi login id pengguna pakai email saat daftar eoi. trus klik lupa pasword nanti dikirimi link lg ke email. bikin pasword utk login portal coretax eoi,neutral
sampe 5-10 tahun lagi masi suasana pilpres bego lu liat rupiah 17 ribu krn apa? ihsg turun krn apa? krn ketidakstabilan politik ekonomi akibat danantara busuk itu uu parjo apbn defisit penerimaan pajak turun krn coretax lu kira itu produk apa? ya produk pilpres kmrn.,negative
gw sih tim darah tinggi sampe di tahap nafas berat kebangun tengah2 tidur dan sesak nafas coretax sialaaaannn ter sialaaaaannnn,negative
i agree that light should write siapapun yang bikin coretax on his death note (i refer to that one shitpost vid on reels),neutral
tp tadi masih bisa buka coretax sm asndigital berarti beneran gapapa ya wkwk,neutral
demi apapun capek bgt coretax kontol,negative
kak mau nanya kalau untuk pengajuan skb tahun 2025 untuk submitnya apakah tetap ke kantor pajak atau sekarang bisa melalui coretax?,neutral
coretax jam segini lancar. acc fin tax seindonesia sudah pada tidur kah,neutral
coretax kontol <url>,negative
apa maksudnya aku harus buka coretax buat bikin npwp,neutral
apa kestress-an ini ditanggung yg punya coretax,negative
coretax oh coretax,negative
min coretax aku selalu muncul anda keluar dari portal,neutral
coretax lah,negative
barusan buka coretax untuk registrasi. trus bandingin sama djponline. beda banget ui sama ux nya coretax gak ada nyaman2 nya sama sekali. gak menarik buat selancar di lamannya. di djponline dipajang tu kartu npwp elektroniknya. di coretax gak ada wkwkwk,negative
izin jb kak ini juga buat bupot pph 21 terkendala dalam menghapus bupot sejak pagi sampai malam nggak bisa terhapus mohon info solusinya bagaimana? kami impor bupot via pjap namun datanya terbentuk dobel di coretax itu juga kenapa? mohon solusinya <url>,negative
makasih ya coretax gw baru balik kantor jam segini,neutral
hi hii sha open jasa konsultan pajak - lapor spt tahunan kurang bayar/lebih bayar 10jt-100jt - pencatatan transaksi harian dari mutasi rekening - tanggapan sp2dk - perhitungan pajak - bukti potong wa yang dibio untuk order coretax zonauang jokipajak,neutral
seburuk itukah coretax di mata kalian,negative
bisa2nya mau nipu ngaku layanan djp di saat orang2 lg stress sm coretax. ahlakless bngt kalo sampe ada yg kena mah semoga amal ibadah lu kaga diterima pas bulan ramadhan kemarin,negative
siapa yg jam segini masih berkelahi sm coretax krn seharian lemot parah? (dan ngerjain d-day ),negative
udah 3 jam lebih anjeeng coretax statusnya signing in progress mulu,negative
tidak berhenti istigfar sama kelakukan coretax hari ini,positive
keuntungan coretax bagi pemerintah dan wajib pajak keuntungan untuk pemerintah efisiensi pengelolaan pajak coretax membantu pemerintah dalam mengelola data perpajakan lebih efisien melalui otomatisasi dan integrasi antar sistem,neutral
third time in a row lembur bcs of coretax. i wanna move out somebody adopt me. ingin jadi diaspora,neutral
seberantakan ini woiiiiiii karena coretax,negative
